Date,Sentiment
2018.12.27,-0.1875
2019.01.03,-0.097484
2019.01.10,0.090909091
2019.01.17,-0.027191
2019.01.24,0.053435053
2019.01.31,0.0
2019.02.07,0.170886
2019.02.14,0.1002951
2019.02.21,0.139319
2019.02.28,0.216327
2019.03.07,0.106383
2019.03.14,0.013652
2019.03.21,0.138889
2019.03.28,0.06
2019.04.04,0.067511
2019.04.11,0.199041
2019.04.18,0.157361
2019.04.25,0.133522
2019.05.02,0.176829
2019.05.09,0.199275
2019.05.16,-0.094736
2019.05.23,-0.113725
2019.05.30,-0.152892
2019.06.06,-0.200549
2019.06.13,-0.073593074
2019.06.20,-0.026229
2019.06.27,-0.024658
2019.07.03,0.008022
2019.07.11,0.061111
2019.07.18,0.072864073
2019.07.25,-0.002808997
2019.08.01,0.14375
2019.08.08,-0.265392
2019.08.15,-0.216738
2019.08.22,-0.130841
2019.08.29,-0.160803839
2019.09.05,-0.108641891
2019.09.12,0.01875
2019.09.19,0.075188075
2019.09.26,-0.038876
2019.10.03,-0.180662
2019.10.10,-0.236504
2019.10.17,0.025641026
2019.10.24,0.073297927
2019.10.31,0.055422
2019.11.07,0.163727836
2019.11.14,0.159036
2019.11.21,0.052108948
2019.11.29,0.033639034
2019.12.05,0.02589
2019.12.12,0.11579
2019.12.19,0.236221
2019.12.26,0.20354
2020.01.02,0.153409
2020.01.09,0.031746
2020.01.16,0.143266
2020.01.23,0.208334
2020.01.30,-0.048781
2020.02.06,-0.013440987
2020.02.13,0.149333
2020.02.20,0.118881119
2020.02.27,-0.086956
2020.03.05,-0.009009009
2020.03.12,-0.215686
2020.03.19,-0.167939168
2020.03.26,-0.191709
2020.04.02,-0.154892
2020.04.09,-0.080692
2020.04.16,-0.078879921
2020.04.23,-0.251366
2020.04.30,-0.134329
2020.05.07,-0.28994129
2020.05.14,-0.273006
2020.05.21,-0.16017316
2020.05.28,-0.090551
2020.06.04,-0.043189
2020.06.11,-0.037736
2020.06.18,-0.234177
2020.06.25,-0.247649248
2020.07.02,-0.237342
2020.07.09,-0.155172
2020.07.16,-0.145374145
2020.07.23,-0.207747
2020.07.30,-0.282443
2020.08.06,-0.24315
2020.08.13,-0.120879121
2020.08.20,-0.120141
2020.08.27,-0.075471
2020.09.03,-0.10970489
2020.09.10,-0.247423
2020.09.17,-0.083744
2020.09.24,-0.210971
2020.10.01,-0.168317
2020.10.08,-0.042253
2020.10.15,-0.009662
2020.10.22,0.027149
2020.10.29,0.0
2020.11.05,0.064814935
2020.11.12,0.309645
2020.11.19,0.179917
2020.11.27,0.197802198
2020.12.03,0.26394
2020.12.10,0.212014212
2020.12.17,0.171315
2020.12.24,0.215768
2020.12.31,0.19281
2021.01.07,0.1346
2021.01.21,0.080746
2021.01.28,-0.006494
2021.02.04,0.017647018
2021.02.11,0.191919192
2021.02.18,0.216718
2021.02.25,0.221498
2021.03.04,0.14935
2021.03.11,0.258824
2021.03.18,0.253522
2021.03.25,0.303798
2021.04.01,0.22619
2021.04.08,0.365132
2021.04.15,0.292359
2021.04.22,0.321767
2021.04.29,0.168918831
2021.05.06,0.211764
2021.05.13,0.095562904
2021.05.20,0.107595
2021.05.27,0.0999999
2021.06.03,0.243161243
2021.06.10,0.195489
2021.06.17,0.149533
2021.06.24,0.170834
2021.07.01,0.264864
2021.07.08,0.156863
2021.07.15,0.093617
2021.07.22,0.0
2021.07.29,0.120536121
2021.08.05,0.043716
2021.08.12,0.054622
2021.08.19,-0.019230981
2021.08.26,0.065934066
2021.09.02,0.101010101
2021.09.09,0.116667
2021.09.16,-0.168367
2021.09.23,-0.092784
2021.09.30,-0.125749
2021.10.07,-0.113208
2021.10.14,0.061610938
2021.10.21,0.191387809
2021.10.27,0.103896104
2021.11.04,0.155
2021.11.11,0.24
2021.11.18,0.116072
2021.11.24,-0.019048
2021.12.02,-0.157142843
2021.12.09,-0.008032
2021.12.16,-0.140777
2021.12.23,-0.043011
2021.12.30,0.07113
2022.01.06,-0.005747006
2022.01.13,-0.133828866
2022.01.20,-0.257642
2022.01.27,-0.298038702
2022.02.03,-0.171642172
2022.02.10,-0.111111
2022.02.17,-0.239437
2022.02.24,-0.302752
2022.03.03,-0.110498
2022.03.10,-0.217778
2022.03.17,-0.273127
2022.03.24,-0.026455026
2022.03.31,0.043479
2022.04.07,-0.166667167
2022.04.14,-0.325792
2022.04.21,-0.25
2022.04.28,-0.429223
2022.05.05,-0.25991226
2022.05.12,-0.247104247
2022.05.19,-0.244186
2022.05.26,-0.336483664
2022.06.02,-0.050439
2022.06.09,-0.258523
2022.06.16,-0.388889389
2022.06.23,-0.411348
2022.06.30,-0.239180239
2022.07.07,-0.33427
2022.07.14,-0.196375
2022.07.21,-0.126028
2022.07.28,-0.123762
2022.08.04,-0.083332917
2022.08.11,-0.045016045
2022.08.18,-0.038195
2022.08.25,-0.146815
2022.09.01,-0.284932
2022.09.08,-0.352025352
2022.09.15,-0.198606
2022.09.22,-0.431437569
2022.09.29,-0.408551
2022.10.06,-0.308357308
2022.10.13,-0.355624
2022.10.20,-0.336158
2022.10.27,-0.190751
2022.11.03,-0.023255977
2022.11.10,-0.219512
2022.11.17,-0.067615
2022.11.24,-0.113702
2022.12.01,-0.159574
2022.12.08,-0.170909
2022.12.15,-0.203187
2022.12.22,-0.32
2022.12.29,-0.211309
2023.01.05,-0.214744
2023.01.12,-0.15901
2023.01.19,-0.020998
2023.01.26,-0.083094
2023.02.02,-0.046512
2023.02.09,0.125
2023.02.16,0.052941053
2023.02.23,-0.169411
2023.03.02,-0.214286
2023.03.09,-0.168965
2023.03.16,-0.291815
2023.03.23,-0.27933
2023.03.30,-0.231023102
2023.04.06,-0.0169
2023.04.13,-0.084308431
2023.04.20,-0.079114
2023.04.27,-0.143678144
2023.05.04,-0.208164
2023.05.11,-0.118321
2023.05.18,-0.168350168
2023.05.25,-0.123077
2023.06.01,-0.077702
2023.06.08,0.202492
2023.06.15,0.224839
2023.06.22,0.15102
2023.06.29,0.144578
2023.07.06,0.219073
2023.07.13,0.151247875
2023.07.20,0.298643
